Location,Hour,Min,Distance
GOSTWYCK,5 hr, 44 min,477 km
KINGSTOWN,6 hr, 7 min,510 km
MIHI,6 hr, 7 min,510 km
ROCKY RIVER,5 hr, 40 min,473 km
SALISBURY PLAINS,5 hr, 40 min,473 km
TORRYBURN,6 hr, 6 min,510 km
URALLA,5 hr, 35 min,467 km
YARROWYCK,5 hr, 54 min,494 km
BUNDARRA,6 hr, 32 min,551 km
CAMERONS CREEK,6 hr, 29 min,535 km
AUBURN VALE,7 hr, 1 min,592 km
BRODIES PLAINS,7 hr,,592 km
BUKKULLA,7 hr, 18 min,619 km
CHERRY TREE HILL,7 hr, 17 min,617 km
COPETON,7 hr, 17 min,586 km
ELSMORE,6 hr, 57 min,595 km
GILGAI,7 hr, 4 min,576 km
GRAMAN,6 hr, 46 min,627 km
GUM FLAT,7 hr, 24 min,600 km
HOWELL,6 hr, 45 min,573 km
INVERELL,6 hr, 55 min,586 km
KINGS PLAINS,7 hr, 37 min,630 km
LITTLE PLAIN,7 hr, 9 min,604 km
LONG PLAIN,7 hr, 1 min,595 km
MOUNT RUSSELL,7 hr, 18 min,613 km
NEWSTEAD,7 hr, 15 min,612 km
NULLAMANNA,7 hr, 15 min,603 km
PARADISE,7 hr, 5 min,585 km
ROB ROY,7 hr, 5 min,585 km
SAPPHIRE,7 hr, 14 min,611 km
SPRING MOUNTAIN,7 hr, 19 min,583 km
STANBOROUGH,7 hr, 19 min,564 km
SWANBROOK,7 hr, 5 min,599 km
WALLANGRA,7 hr, 41 min,653 km
WANDERA,7 hr, 5 min,599 km
WOODSTOCK,7 hr, 18 min,612 km
ASHFORD,7 hr, 34 min,642 km
ATHOLWOOD,8 hr, 2 min,677 km
BONSHAW,8 hr, 2 min,677 km
LIMESTONE,7 hr, 47 min,657 km
PINDAROI,7 hr, 26 min,623 km
BACKWATER,6 hr, 46 min,560 km
BALD BLAIR,6 hr, 30 min,541 km
BALDERSLEIGH,6 hr, 43 min,553 km
BASSENDEAN,6 hr, 47 min,563 km
BEN LOMOND,6 hr, 35 min,549 km
BLACK MOUNTAIN,6 hr, 11 min,515 km
BRIARBROOK,6 hr, 47 min,560 km
BROCKLEY,6 hr, 32 min,545 km
BRUSHY CREEK,6 hr, 41 min,555 km
FALCONER,6 hr, 25 min,533 km
GEORGES CREEK,6 hr, 34 min,549 km
GLEN NEVIS,7 hr, 53 min,613 km
GLENCOE,6 hr, 44 min,565 km
GREEN HILLS,6 hr, 34 min,545 km
GUYRA,6 hr, 20 min,527 km
LLANGOTHLIN,6 hr, 26 min,537 km
MAYBOLE,6 hr, 52 min,567 km
MOUNT MITCHELL,6 hr, 52 min,567 km
NEW VALLEY,7 hr,,590 km
OBAN,6 hr, 38 min,553 km
SOUTH GUYRA,6 hr, 17 min,524 km
TENTERDEN,6 hr, 40 min,556 km
THE BASIN,6 hr, 38 min,548 km
TUBBAMURRA,6 hr, 38 min,548 km
WANDSWORTH,6 hr, 41 min,561 km
OLD MILL,6 hr, 51 min,580 km
STANNIFER,6 hr, 54 min,584 km
TINGHA,6 hr, 54 min,574 km
BALD NOB,7 hr, 17 min,612 km
DIEHARD,7 hr, 43 min,635 km
DUNDEE,7 hr, 19 min,615 km
FURRACABAD,7 hr, 14 min,600 km
GIBRALTAR RANGE,7 hr, 44 min,655 km
GLEN ELGIN,7 hr, 35 min,632 km
GLEN INNES,6 hr, 59 min,586 km
KINGSGATE,7 hr, 52 min,632 km
KOOKABOOKRA,7 hr, 3 min,576 km
LAMBS VALLEY,7 hr, 4 min,592 km
MATHESON,7 hr, 14 min,605 km
MOGGS SWAMP,7 hr, 23 min,593 km
MOOGEM,7 hr, 50 min,653 km
MORVEN,8 hr, 14 min,660 km
NEWTON BOYD,8 hr, 36 min,673 km
PINKETT,7 hr, 13 min,590 km
RANGERS VALLEY,7 hr, 19 min,613 km
RED RANGE,7 hr, 13 min,604 km
REDDESTONE,7 hr, 15 min,607 km
SHANNON VALE,7 hr, 15 min,603 km
SWAN VALE,7 hr, 21 min,616 km
WELLINGROVE,7 hr, 29 min,627 km
YARROWFORD,7 hr, 6 min,595 km
CAPOOMPETA,7 hr, 59 min,652 km
DEEPWATER,7 hr, 26 min,626 km
EMMAVILLE,7 hr, 31 min,629 km
ROCKY CREEK,7 hr, 55 min,656 km
STANNUM,7 hr, 39 min,642 km
TORRINGTON,7 hr, 50 min,655 km
WELLINGTON VALE,7 hr, 33 min,637 km
YELLOW DAM,7 hr, 44 min,645 km
BACK CREEK,8 hr, 44 min,720 km
BOLIVIA,7 hr, 42 min,647 km
BOONOO BOONOO,8 hr, 23 min,688 km
